HALTER_ID,"Age, Guardian","Gender, Guardian",City District,Primary Breed,"Year of Birth, Dog","Sex, Dog",Dog Colour
65848,71-80,m,12,Pinscher,2002,w,Black/Brown
65940,41-50,w,8,Berner Sennenhund,2010,w,tricolor
65975,61-70,w,7,Labrador Retriever,2002,w,Brown
65975,61-70,w,7,Labrador Retriever,2006,m,Black
65981,51-60,w,6,Labrador Retriever,2013,m,Yellow
66144,51-60,m,5,Deutsche Dogge,2013,w,Yellow
66144,51-60,m,5,Labrador Retriever,2006,m,Brown
66151,51-60,m,11,Deutscher Schäfer,2008,w,Black/Brown/White
66266,61-70,m,9,True klein,2006,w,tricolor
66298,41-50,m,6,Magyar Viszla,2010,m,Yellow
66515,61-70,m,8,Labrador Retriever,2007,w,Brown
66515,61-70,m,8,Labrador Retriever,2011,w,Brown
66524,51-60,w,12,Mops,2013,m,blue/merle
66524,51-60,w,12,Border Collie,2007,w,White/Black
66702,51-60,w,6,Zwergpudel,2008,w,apricot
66757,51-60,w,1,True gross,2012,m,Brown/beige
66898,41-50,m,7,Coton de Tulear,2010,m,White
66913,51-60,m,8,Hovawart,2012,w,Black
66913,51-60,m,8,Hovawart,2004,w,blond Colour
67001,51-60,w,3,Mops,2013,m,beige
67018,71-80,w,6,Labrador Retriever,2012,m,beige
67054,51-60,m,9,Beagle,2003,w,tricolor
67125,51-60,m,7,Gold en Retriever,2001,m,Gold en
67135,31-40,m,6,Jack Russel Terrier,2010,w,tricolor
67180,51-60,w,1,English Cocker Spaniel,2004,w,BlueDull Grey
67220,61-70,m,6,True klein,2010,m,Brown
67308,41-50,w,11,Shih Tzu,2012,w,Brown/White
70076,31-40,m,9,Labrador Retriever,2009,m,Brown
70176,41-50,w,4,True gross,2012,w,White
70287,51-60,m,2,Hirtenhund,2006,m,White/Grey
70296,51-60,w,7,Pinscher,2009,m,Bright Brown
70296,51-60,w,7,True klein,2010,w,White/beige
70577,51-60,w,3,True klein,2003,w,Black
70788,31-40,m,7,Mops,2014,w,Brown
70793,71-80,m,11,Soft Coated Wheaten Terrier,2012,m,beige
71024,61-70,w,7,Lagotto Romagnolo,2012,w,bianco-aranico
71119,51-60,w,11,Zwergpinscher,2003,w,black/tan
71119,51-60,w,11,Prager Rattler,2010,w,black/tan
71119,51-60,w,11,Chihuahua,2010,m,black/tan
71142,51-60,w,7,Canaan Dog,2008,m,Black
71344,51-60,w,6,Labrador Retriever,2002,w,Yellow
71475,31-40,m,3,Lagotto Romagnolo,2015,m,White/Brown
71555,61-70,m,7,True klein,2009,m,Black Dull Grey
71670,51-60,m,7,Deutscher Schäfer,2012,w,Brown
71757,41-50,m,4,Bouvier,2012,m,Brindle
71761,41-50,m,9,Jack Russel Terrier,2010,m,tricolor
71893,41-50,w,6,Border Collie,2012,w,tricolor
71915,71-80,w,1,True klein,2002,m,Grey
71991,41-50,m,6,Border Collie,2015,m,Black/White
72136,51-60,m,7,Labrador Retriever,2007,m,choco
72355,61-70,m,1,Foxterrier,2005,m,tricolor
72580,41-50,m,10,Prager Rattler,2013,m,Bright Brown
72580,41-50,m,10,Prager Rattler,2013,m,Brown
80006,61-70,m,3,Appenzeller Sennenhund,2005,m,Black/White/Brown
80007,71-80,m,11,Labrador Retriever,2006,m,blond Colour
80011,41-50,w,12,Malteser,2004,m,White
80011,41-50,w,12,Papillon,2001,w,Black
80011,41-50,w,12,Yorkshire Terrier,2009,m,tricolor
80011,41-50,w,12,Jura Laufhund,2003,m,Black/Brown/White
80017,61-70,m,6,Labrador Retriever,2006,w,Black
80017,61-70,m,6,Spanischer Wasserhund,2004,w,Brown/White
80021,41-50,w,11,Labrador Retriever,2011,w,Black
80023,61-70,m,11,Border Collie,2010,m,tricolor
80023,61-70,m,11,Border Collie,2001,m,Black/White
80028,41-50,w,10,Border Collie,2015,w,tricolor
80056,81-90,m,7,Labrador Retriever,2006,w,Black
80059,71-80,w,12,Französische Bulldogge,2007,w,White
80068,51-60,m,9,Bayerischer GebirgsschWhitehund,2011,m,hirschRed mit Maske
80096,51-60,w,11,Malteser,2004,m,White
80097,61-70,m,6,Jack Russel Terrier,2006,m,Black/White
80099,71-80,m,12,Pinscher,2002,m,Red
80106,61-70,w,9,Labrador Retriever,2009,m,Black
80127,41-50,w,10,American Bulldog,2005,w,White
80141,51-60,m,11,Schnauzer,2002,w,Grey/Brown
80143,71-80,w,9,Yorkshire Terrier,2007,w,Black/Brown
80157,71-80,w,11,True klein,2003,w,Brown/White
80162,51-60,m,12,Bouvier,2008,w,Black
80162,51-60,m,12,Parson Jack Russell Terrier,2008,m,White/Red
80168,61-70,m,11,Labrador Retriever,2005,m,beige
80169,41-50,w,4,Jack Russel Terrier,2014,m,Black
80169,41-50,w,4,Jack Russel Terrier,2007,w,tricolor
80172,51-60,m,9,Labrador Retriever,2008,m,Black
80185,41-50,m,10,Labrador Retriever,2010,w,blond Colour
80187,51-60,w,3,Gold en Retriever,2003,w,blond Colour
